,Name,laitude,longtitude,rating,label,aspect
0,亞廬義大利窯烤吃到飽餐廳,25.0221397,121.549751,4.3,{1: '台式料理'},"{'食物品質': 3.5, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 3.5}"
1,the Diner 樂子瑞安店,25.0265894,121.5396576,4.3,{1: '美式料理'},"{'食物品質': 4.5, '服務品質': 4.5, '性價比': 4, '環境氛圍': 4.5, '衛生安全': 4.5}"
2,詹記麻辣火鍋 敦南店,25.0243099,121.5490842,4.4,{1: '台式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 4, '環境氛圍': 4, '衛生安全': 5}"
3,香宮 Shang Palace - 台北遠東香格里拉,25.026403,121.5494,4.3,{1: '中式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 3, '環境氛圍': 5, '衛生安全': 5}"
4,莫宰羊-大安台大店,25.0238934,121.5344482,4.2,{1: '其他料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 3, '環境氛圍': 3.5, '衛生安全': 4.5}"
5,月之義大利餐廳,25.0254867,121.5494205,4.4,{1: '義式料理'},"{'食物品質': 4, '服務品質': 5, '性價比': 3, '環境氛圍': 5, '衛生安全': 4}"
6,北平同慶樓,25.024169,121.5483413,4.0,{1: '中式料理'},"{'食物品質': 3.5, '服務品質': 3.5, '性價比': 3.5, '環境氛圍': 2.5, '衛生安全': 3.5}"
7,小木屋鬆餅(台大店),25.01544789999999,121.5371656,4.2,{1: '台式料理'},"{'食物品質': 3, '服務品質': 2, '性價比': 3, '環境氛圍': 4, '衛生安全': 3}"
8,霞飛驛歐法西餐,25.0200278,121.5334694,4.2,{1: '義式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 3, '環境氛圍': 4, '衛生安全': 4}"
9,小李子清粥小菜,25.028734,121.5432726,3.8,{1: '台式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 3, '環境氛圍': 4, '衛生安全': 3}"
10,遠東CAFÉ,25.026403,121.5494,4.5,{1: '日式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
11,蘇活義大利麵坊,25.0201304,121.5335261,4.2,{1: '義式料理'},"{'食物品質': 5, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 5}"
12,靚咖哩,25.0246495,121.5427665,3.7,{1: '台式料理'},"{'食物品質': 2, '服務品質': 3, '性價比': 2, '環境氛圍': 1, '衛生安全': 1}"
13,阿玉水餃 (生水餃專賣店),25.0216947,121.5426928,4.3,{1: '台式料理'},"{'食物品質': 4.5, '服務品質': 4, '性價比': 4.5, '環境氛圍': 3.5, '衛生安全': 4.5}"
14,找餐。店,25.0249868,121.5466512,3.8,{1: '法式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 4, '環境氛圍': 2, '衛生安全': 4}"
15,女巫店,25.0205722,121.5336417,4.6,{1: '義式料理'},"{'食物品質': 4, '服務品質': 5, '性價比': 3, '環境氛圍': 5, '衛生安全': 4}"
16,卡帛素食烘培‧義式廚房‧港式餐點 總店,25.0236612,121.542976,4.2,{1: '義式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 3, '環境氛圍': 3, '衛生安全': 4}"
17,大水缸養生甜品,25.0285253,121.544271,4.3,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
18,紫藤廬,25.024613,121.534308,4.2,{1: '台式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 3, '環境氛圍': 5, '衛生安全': 4}"
19,Onni韓食堂,25.0275475,121.5436796,4.0,{1: '韓式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
20,鐵匠 鉄板居酒屋 TEPPAN IZAKAYA TESSHO,25.0254881,121.5497491,4.2,{1: '日式料理'},"{'食物品質': 4.5, '服務品質': 3, '性價比': 3.5, '環境氛圍': 4, '衛生安全': 3}"
21,爭鮮迴轉壽司 科技店,25.0265938,121.5436871,3.9,{1: '其他料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
22,溫州大餛飩,25.024921,121.545657,3.7,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 5, '環境氛圍': 2, '衛生安全': 4}"
23,紅豆食府 遠企店,25.0263019,121.5493621,3.8,{1: '中式料理'},"{'食物品質': 3, '服務品質': 2, '性價比': 2, '環境氛圍': 3, '衛生安全': 4}"
24,SUBWAY 敦化和平店,25.025329,121.548255,3.8,{1: '美式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 2, '環境氛圍': 3, '衛生安全': 1}"
25,阿英海產粥,25.0246242,121.5432538,4.2,{1: '其他料理'},"{'食物品質': 5, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
26,小慧涼麵店,25.0187454,121.5511398,4.4,{1: '其他料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 5, '環境氛圍': 2, '衛生安全': 4}"
27,蔣記家薌麵,25.0263016,121.5470213,4.3,{1: '中式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 3, '環境氛圍': 3, '衛生安全': 3}"
28,恬園餐廳 - 福華國際文教會館,25.0238027,121.5337906,3.9,{1: '中式料理'},"{'食物品質': 3.5, '服務品質': 3.5, '性價比': 3.5, '環境氛圍': 4.5, '衛生安全': 4.0}"
29,永和豆漿大王,25.0297337,121.5433359,4.2,{1: '台式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 3, '環境氛圍': 3, '衛生安全': 3}"
30,ANTICO FORNO 老烤箱義式披薩餐酒,25.0266707,121.5397025,4.4,{1: '義式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 4, '環境氛圍': 5, '衛生安全': 5}"
31,瑞安豆漿大王,25.0285427,121.541386,4.1,{1: '台式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 3, '環境氛圍': 3, '衛生安全': 3}"
32,角屋關東煮,25.0285395,121.5461495,4.2,{1: '日式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 4, '環境氛圍': 5, '衛生安全': 4}"
33,忠誠山東蔥油餅 - 此燈亮有餅,25.0229361,121.5427861,4.1,{1: '其他料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 3}"
34,好開食早午餐,25.0216866,121.5497448,4.1,{1: '台式料理'},"{'食物品質': 4, '服務品質': 5, '性價比': 4, '環境氛圍': 4, '衛生安全': 3}"
35,Loving Hut 愛家國際餐飲 台北 和平店,25.0257241,121.5419328,4.3,{1: '泰式料理'},"{'食物品質': 5, '服務品質': 5, '性價比': 4, '環境氛圍': 5, '衛生安全': 5}"
36,涮八方紫銅鍋,25.02616739999999,121.5506014,4.1,{1: '其他料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 2, '環境氛圍': 3, '衛生安全': 4}"
37,達美樂披薩 和平店,25.0246655,121.5499492,3.9,{1: '美式料理'},"{'食物品質': 3, '服務品質': 4, '性價比': 3, '環境氛圍': 3, '衛生安全': 3}"
38,熱翻天生猛海鮮,25.027964,121.54327,3.8,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 5, '環境氛圍': 2, '衛生安全': 3}"
39,大連風味館,25.027278,121.5436853,4.0,{1: '中式料理'},"{'食物品質': 4.5, '服務品質': 4.2, '性價比': 4.0, '環境氛圍': 3.8, '衛生安全': 4.3}"
40,花麻辣 麻辣鴛鴦 沙茶火鍋,25.02255659999999,121.5502173,4.2,{1: '台式料理'},"{'食物品質': 5, '服務品質': 4, '性價比': 4, '環境氛圍': 4, '衛生安全': 5}"
41,全國食養健康素食自助餐 大安復興店,25.02353280000001,121.543218,3.9,{1: '台式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
42,主廚之家,25.0283634,121.5421083,4.3,{1: '中式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
43,小辣椒魷魚羹,25.024945,121.5440758,3.7,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 3, '環境氛圍': 2, '衛生安全': 3}"
44,ibuki 日本料理餐廳 -台北遠東香格里拉,25.0264311,121.5493234,4.4,{1: '日式料理'},"{'食物品質': 4, '服務品質': 4, '性價比': 3, '環境氛圍': 5, '衛生安全': 4}"
45,老龍牛肉麵大王,25.0258836,121.5468411,3.9,{1: '中式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 4, '環境氛圍': 2, '衛生安全': 4}"
46,史大華精緻鴛鴦鍋,25.02617489999999,121.5503655,4.2,{1: '中式料理'},"{'食物品質': 4.5, '服務品質': 4.5, '性價比': 3.5, '環境氛圍': 3, '衛生安全': 4}"
47,老麵工房-天然酵母手感饅頭,25.0281383,121.5471422,4.7,{1: '台式料理'},"{'食物品質': 5, '服務品質': 4, '性價比': 4, '環境氛圍': 5, '衛生安全': 5}"
48,龍門客棧餃子館 瑞安店,25.0279058,121.5408703,3.6,1: 台式料理,"{'食物品質': 4, '服務品質': 3, '性價比': 4, '環境氛圍': 3, '衛生安全': 3}"
49,禾豐日式涮涮鍋,25.0285277,121.5427009,4.4,{1: '日式料理'},"{'食物品質': 4.5, '服務品質': 5, '性價比': 3.5, '環境氛圍': 3.5, '衛生安全': 5}"
50,八方雲集 (師院店),25.0249649,121.545013,2.7,{1: '其他料理'},"{'食物品質': 2, '服務品質': 3, '性價比': 2, '環境氛圍': 3, '衛生安全': 2}"
51,小李子蘭州牛肉拉麵館,25.0284757,121.5443074,4.0,{1: '台式料理'},"{'食物品質': 4.5, '服務品質': 4, '性價比': 4, '環境氛圍': 3.5, '衛生安全': 4}"
52,鳳城燒臘粵菜,25.0202791,121.5338184,4.0,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3, '性價比': 4, '環境氛圍': 2, '衛生安全': 3}"
53,麥當勞-復興二餐廳,25.02567889999999,121.5436329,3.4,{1: '美式料理'},"{'食物品質': 3, '服務品質': 3, '性價比': 3, '環境氛圍': 4, '衛生安全': 5}"
54,三顧茅廬台北四維店,25.0282004,121.5440464,3.4,{1: '台式料理'},"{'食物品質': 4, '服務品質': 3.5, '性價比': 4, '環境氛圍': 3, '衛生安全': 4}"
55,翠園越南餐廳,25.02411330000001,121.534427,4.0,{1: '其他料理'},"{'食物品質': 3.5, '服務品質': 2.5, '性價比': 2, '環境氛圍': 3, '衛生安全': 3.5}"
